,Date,AAPL,GOOG,MSFT
"2481-1",2014-06-27,91.980000000000004,577.24000000000001,42.25
"2482-1",2014-06-30,92.930000000000007,575.27999999999997,41.700000000000003
"2483-1",2014-07-01,93.519999999999996,582.66999999999996,41.869999999999997
"2484-1",2014-07-02,93.480000000000004,582.34000000000003,41.899999999999999
"2485-1",2014-07-03,94.030000000000001,584.73000000000002,41.799999999999997
"2486-1",2014-07-07,95.969999999999999,582.25,41.990000000000002
"2487-1",2014-07-08,95.349999999999994,571.09000000000003,41.780000000000001
"2488-1",2014-07-09,95.390000000000001,576.08000000000004,41.670000000000002
"2489-1",2014-07-10,95.040000000000006,571.10000000000002,41.68
"2490-1",2014-07-11,95.219999999999999,579.17999999999995,42.090000000000003
"2491-1",2014-07-14,96.450000000000003,584.87,42.140000000000001
"2492-1",2014-07-15,95.319999999999993,584.77999999999997,42.450000000000003
"2493-1",2014-07-16,94.780000000000001,582.65999999999997,44.079999999999998
"2494-1",2014-07-17,93.090000000000003,573.73000000000002,44.530000000000001
"2495-1",2014-07-18,94.430000000000007,595.08000000000004,44.689999999999998
"2496-1",2014-07-21,93.939999999999998,589.47000000000003,44.840000000000003
"2497-1",2014-07-22,94.719999999999999,594.74000000000001,44.829999999999998
"2498-1",2014-07-23,97.189999999999998,595.98000000000002,44.869999999999997
"2499-1",2014-07-24,97.030000000000001,593.35000000000002,44.399999999999999
"2500-1",2014-07-25,97.670000000000002,589.01999999999998,44.5
"2501-1",2014-07-28,99.019999999999996,590.60000000000002,43.969999999999999
"2502-1",2014-07-29,98.379999999999995,585.61000000000001,43.880000000000003
"2503-1",2014-07-30,98.150000000000006,587.41999999999996,43.579999999999998
"2504-1",2014-07-31,95.599999999999994,571.60000000000002,43.159999999999997
"2505-1",2014-08-01,96.129999999999995,566.07000000000005,42.859999999999999
"2506-1",2014-08-04,95.590000000000003,573.14999999999998,43.369999999999997
"2507-1",2014-08-05,95.120000000000005,565.07000000000005,43.079999999999998
"2508-1",2014-08-06,94.959999999999994,566.37,42.740000000000002
"2509-1",2014-08-07,94.480000000000004,563.36000000000001,43.229999999999997
"2510-1",2014-08-08,94.739999999999995,568.76999999999998,43.200000000000003
"2511-1",2014-08-11,95.989999999999995,567.88,43.200000000000003
"2512-1",2014-08-12,95.969999999999999,562.73000000000002,43.520000000000003
"2513-1",2014-08-13,97.239999999999995,574.77999999999997,44.079999999999998
"2514-1",2014-08-14,97.5,574.64999999999998,44.270000000000003
"2515-1",2014-08-15,97.980000000000004,573.48000000000002,44.789999999999999
"2516-1",2014-08-18,99.159999999999997,582.15999999999997,45.109999999999999
"2517-1",2014-08-19,100.53,586.86000000000001,45.329999999999998
"2518-1",2014-08-20,100.56999999999999,584.49000000000001,44.950000000000003
"2519-1",2014-08-21,100.58,583.37,45.219999999999999
"2520-1",2014-08-22,101.31999999999999,582.55999999999995,45.149999999999999
"2521-1",2014-08-25,101.54000000000001,580.20000000000005,45.170000000000002
"2522-1",2014-08-26,100.89,577.86000000000001,45
"2523-1",2014-08-27,102.13,571,44.869999999999997
"2524-1",2014-08-28,102.25,569.20000000000005,44.880000000000003
"2525-1",2014-08-29,102.5,571.60000000000002,45.43
"2526-1",2014-09-02,103.3,577.33000000000004,45.090000000000003
"2527-1",2014-09-03,98.939999999999998,577.94000000000005,44.960000000000001
"2528-1",2014-09-04,98.120000000000005,581.98000000000002,45.259999999999998
"2529-1",2014-09-05,98.969999999999999,586.08000000000004,45.909999999999997
"2530-1",2014-09-08,98.359999999999999,589.72000000000003,46.469999999999999
"2531-1",2014-09-09,97.989999999999995,581.00999999999999,46.759999999999998
"2532-1",2014-09-10,101,583.10000000000002,46.840000000000003
"2533-1",2014-09-11,101.43000000000001,581.35000000000002,47
"2534-1",2014-09-12,101.66,575.62,46.700000000000003
"2535-1",2014-09-15,101.63,573.10000000000002,46.240000000000002
"2536-1",2014-09-16,100.86,579.95000000000005,46.759999999999998
"2537-1",2014-09-17,101.58,584.76999999999998,46.520000000000003
"2538-1",2014-09-18,101.79000000000001,589.26999999999998,46.68
"2539-1",2014-09-19,100.95999999999999,596.08000000000004,47.520000000000003
"2540-1",2014-09-22,101.06,587.37,47.060000000000002
"2541-1",2014-09-23,102.64,581.13,46.560000000000002
"2542-1",2014-09-24,101.75,587.99000000000001,47.079999999999998
"2543-1",2014-09-25,97.870000000000005,575.05999999999995,46.039999999999999
"2544-1",2014-09-26,100.75,577.10000000000002,46.409999999999997
"2545-1",2014-09-29,100.11,576.36000000000001,46.439999999999998
"2546-1",2014-09-30,100.75,577.36000000000001,46.359999999999999
"2547-1",2014-10-01,99.180000000000007,568.26999999999998,45.899999999999999
"2548-1",2014-10-02,99.900000000000006,570.08000000000004,45.759999999999998
"2549-1",2014-10-03,99.620000000000005,575.27999999999997,46.090000000000003
"2550-1",2014-10-06,99.620000000000005,577.35000000000002,46.090000000000003
"2551-1",2014-10-07,98.75,563.74000000000001,45.530000000000001
"2552-1",2014-10-08,100.8,572.5,46.780000000000001
"2553-1",2014-10-09,101.02,560.88,45.850000000000001
"2554-1",2014-10-10,100.73,544.49000000000001,44.030000000000001
"2555-1",2014-10-13,99.810000000000002,533.21000000000004,43.649999999999999
"2556-1",2014-10-14,98.75,537.94000000000005,43.729999999999997
"2557-1",2014-10-15,97.540000000000006,530.02999999999997,43.219999999999999
"2558-1",2014-10-16,96.260000000000005,524.50999999999999,42.740000000000002
"2559-1",2014-10-17,97.670000000000002,511.17000000000002,43.630000000000003
"2560-1",2014-10-20,99.760000000000005,520.84000000000003,44.079999999999998
"2561-1",2014-10-21,102.47,526.53999999999996,44.880000000000003
"2562-1",2014-10-22,102.98999999999999,532.71000000000004,44.380000000000003
"2563-1",2014-10-23,104.83,543.98000000000002,45.020000000000003
"2564-1",2014-10-24,105.22,539.77999999999997,46.130000000000003
"2565-1",2014-10-27,105.11,540.76999999999998,45.909999999999997
"2566-1",2014-10-28,106.73999999999999,548.89999999999998,46.490000000000002
"2567-1",2014-10-29,107.34,549.33000000000004,46.619999999999997
"2568-1",2014-10-30,106.98,550.30999999999995,46.049999999999997
"2569-1",2014-10-31,108,559.08000000000004,46.950000000000003
"2570-1",2014-11-03,109.40000000000001,555.22000000000003,47.439999999999998
"2571-1",2014-11-04,108.59999999999999,554.11000000000001,47.57
"2572-1",2014-11-05,108.86,545.91999999999996,47.859999999999999
"2573-1",2014-11-06,108.7,542.03999999999996,48.700000000000003
"2574-1",2014-11-07,109.01000000000001,541.00999999999999,48.68
"2575-1",2014-11-10,108.83,547.49000000000001,48.890000000000001
"2576-1",2014-11-11,109.7,550.28999999999996,48.869999999999997
"2577-1",2014-11-12,111.25,547.30999999999995,48.780000000000001
"2578-1",2014-11-13,112.81999999999999,545.38,49.609999999999999
"2579-1",2014-11-14,114.18000000000001,544.39999999999998,49.579999999999998
"2580-1",2014-11-17,113.98999999999999,536.50999999999999,49.460000000000001
"2581-1",2014-11-18,115.47,535.02999999999997,48.740000000000002
"2582-1",2014-11-19,114.67,536.99000000000001,48.219999999999999
"2583-1",2014-11-20,116.31,534.83000000000004,48.700000000000003
"2584-1",2014-11-21,116.47,537.5,47.979999999999997
"2585-1",2014-11-24,118.62,539.26999999999998,47.590000000000003
